"C","S","n","alpha"
0,-0.009353867984733942,805,53
0,0.,805,53
0,0.009560933084638212,805,53
0,0.,805,53
0,-0.009770382514240795,805,53
0,0.,805,53
0,0.009982180733798552,805,53
0,0.,805,53
0,-0.010196290400512491,805,53
0,0.,805,53
0,0.010412672382074967,805,53
0,0.,805,53
0,-0.01063128577250425,805,53
0,0.,805,53
0,0.010852087910267476,805,53
0,0.,805,53
0,-0.011075034398688795,805,53
0,0.,805,53
0,0.011300079128635442,805,53
0,0.,805,53
0,-0.011527174303470326,805,53
0,0.,805,53
0,0.011756270466255516,805,53
0,0.,805,53
0,-0.011987316529186857,805,53
0,0.,805,53
0,0.012220259805235728,805,53
0,0.,805,53
0,-0.012455046041969864,805,53
0,0.,805,53
0,0.01269161945752093,805,53
0,0.,805,53
0,-0.012929922778662508,805,53
0,0.,805,53
0,0.013169897280958015,805,53
0,0.,805,53
0,-0.01341148283093416,805,53
0,0.,805,53
0,0.013654617930231452,805,53
0,0.,805,53
0,-0.013899239761679553,805,53
0,0.,805,53
0,0.014145284237241356,805,53
0,0.,805,53
0,-0.014392686047766003,805,53
0,0.,805,53
0,0.014641378714487483,805,53
0,0.,805,53
0,-0.014891294642201928,805,53
0,0.,805,53
0,0.015142365174053356,805,53
0,0.,805,53
0,-0.015394520647854374,805,53
0,0.,805,53
0,0.015647690453865257,805,53
0,0.,805,53
0,-0.015901803093951856,805,53
0,0.,805,53
0,0.016156786242039943,805,53
0,0.,805,53
0,-0.01641256680578102,805,53
0,0.,805,53
0,0.0166690709893421,805,53
0,0.,805,53
0,-0.016926224357229586,805,53
0,0.,805,53
0,0.0171839518990555,805,53
0,0.,805,53
0,-0.017442178095151945,805,53
0,0.,805,53
0,0.017700826982938435,805,53
0,0.,805,53
0,-0.01795982222394469,805,53
0,0.,805,53
0,0.018219087171390556,805,53
0,0.,805,53
0,-0.01847854493822319,805,53
0,0.,805,53
0,0.018738118465510982,805,53
0,0,805,53
0,0.018738118465510982,805,53
0,0.,805,53
0,-0.01847854493822319,805,53
0,0.,805,53
0,0.018219087171390556,805,53
0,0.,805,53
0,-0.01795982222394469,805,53
0,0.,805,53
0,0.017700826982938435,805,53
0,0.,805,53
0,-0.017442178095151945,805,53
0,0.,805,53
0,0.0171839518990555,805,53
0,0.,805,53
0,-0.016926224357229586,805,53
0,0.,805,53
0,0.0166690709893421,805,53
0,0.,805,53
0,-0.01641256680578102,805,53
0,0.,805,53
0,0.016156786242039943,805,53
0,0.,805,53
0,-0.015901803093951856,805,53
0,0.,805,53
0,0.015647690453865257,805,53
0,0.,805,53
0,-0.015394520647854374,805,53
0,0.,805,53
0,0.015142365174053356,805,53
0,0.,805,53
0,-0.014891294642201928,805,53
0,0.,805,53
0,0.014641378714487483,805,53
0,0.,805,53
0,-0.014392686047766003,805,53
0,0.,805,53
0,0.014145284237241356,805,53
0,0.,805,53
0,-0.013899239761679553,805,53
0,0.,805,53
0,0.013654617930231452,805,53
0,0.,805,53
0,-0.01341148283093416,805,53
0,0.,805,53
0,0.013169897280958015,805,53
0,0.,805,53
0,-0.012929922778662508,805,53
0,0.,805,53
0,0.01269161945752093,805,53
0,0.,805,53
0,-0.012455046041969864,805,53
0,0.,805,53
0,0.012220259805235728,805,53
0,0.,805,53
0,-0.011987316529186857,805,53
0,0.,805,53
0,0.011756270466255516,805,53
0,0.,805,53
0,-0.011527174303470326,805,53
0,0.,805,53
0,0.011300079128635442,805,53
0,0.,805,53
0,-0.011075034398688795,805,53
0,0.,805,53
0,0.010852087910267476,805,53
0,0.,805,53
0,-0.01063128577250425,805,53
0,0.,805,53
0,0.010412672382074967,805,53
0,0.,805,53
0,-0.010196290400512491,805,53
0,0.,805,53
0,0.009982180733798552,805,53
0,0.,805,53
0,-0.009770382514240795,805,53
0,0.,805,53
0,0.009560933084638212,805,53
0,0.,805,53
0,-0.009353867984733942,805,53
0,0.,805,53
0,0.009149220939950506,805,53
0,0.,805,53
0,-0.008947023852398442,805,53
0,0.,805,53
0,0.008747306794145449,805,53
0,0.,805,53
0,-0.008550098002729262,805,53
0,0.,805,53
0,0.008355423878893695,805,53
0,0.,805,53
0,-0.008163308986523617,805,53
0,0.,805,53
0,0.007973776054751039,805,53
0,0.,805,53
0,-0.007786845982200974,805,53
0,0.,805,53
0,0.007602537843342368,805,53
0,0.,805,53
0,-0.007420868896906154,805,53
0,0.,805,53
0,0.007241854596329304,805,53
0,0.,805,53
0,-0.007065508602180768,805,53
0,0.,805,53
0,0.006891842796522316,805,53
0,0.,805,53
0,-0.00672086729915453,805,53
0,0.,805,53
0,0.006552590485695634,805,53
0,0.,805,53
0,-0.006387019007438362,805,53
0,0.,805,53
0,0.006224157812927818,805,53
0,0.,805,53
0,-0.006064010171201067,805,53
